project_id,fleet_id,site_id,vehicle_id,model,manufacturer,model_year,vehicle_type,vocation,vehicle_class_size,body_type,body_manufacturer,power,torque,drivetrain_type,main_energy_source_units,main_energy_source_capacity,range_units,nominal_total_range,charging_h2_connector_type,is_plug_in,is_hybrid,if_hybrid_range_from_main_energy_source,if_hybrid_range_from_secondary_energy_source,h2_pressure,ev_max_charge,fuel_cell_h2_acceptance_rate,fuel_on_site,fuel_public,is_operated_in_dac,expected_deployment_date,actual_deployment_date,deployment_end_date,cause_of_deployment_delay,brake_replacement_rates,tire_replacement_rates,num_drivers,electric_motor_type,electric_motor_model
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2018,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2019,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2020,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2021,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2025,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2028,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2029,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2031,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2033,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APBA,Bakersfield-01,MVN2016,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APBA,Bakersfield-01,MVN2023,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-01,G16-ZTRK-01-GWSF,SanF-01-01,SanFEV-01,BYD T7 2017,BYD,2017,Box Truck,"Freight, Local",Class 6 ,Box Truck,BYD,150,550,Battery-electric,kWh,175,,,Conductive proprietary,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,True,2018-12-01 00:00:00,2020-01-19 00:00:00,,Build quality oversights and liftgate malfunction,,,1,Permanent magnet,TYC-150A
G16-ZTRK-01,G16-ZTRK-01-GWSF,SanF-01-01,SanFEV-02,BYD T7 2017,BYD,2017,Box Truck,"Freight, Local",Class 6 ,Box Truck,BYD,150,550,Battery-electric,kWh,175,,,Conductive proprietary,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,True,2018-12-01 00:00:00,2020-01-19 00:00:00,,Build quality oversights and liftgate malfunction,,,1,Permanent magnet,TYC-150A
G16-ZTRK-01,G16-ZTRK-01-GWSF,SanF-01-01,SanFEV-03,BYD T7 2017,BYD,2017,Box Truck,"Freight, Local",Class 6,Box Truck,BYD,150,550,Battery-electric,kWh,175,,,Conductive proprietary,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,True,2018-12-01 00:00:00,2020-01-19 00:00:00,,Build quality oversights and liftgate malfunction,,,1,Permanent magnet,TYC-150A
G16-ZTRK-01,G16-ZTRK-01-GWSF,SanF-01-01,SanFEV-04,BYD T7 2017,BYD,2017,Box Truck,"Freight, Local",Class 6,Box Truck,BYD,150,550,Battery-electric,kWh,175,,,Conductive proprietary,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,True,2018-12-01 00:00:00,2020-01-19 00:00:00,,Build quality oversights and liftgate malfunction,,,1,Permanent magnet,TYC-150A
G16-ZTRK-01,G16-ZTRK-01-GWSF,SanF-01-01,SanFEV-05,BYD T7 2017,BYD,2017,Box Truck,"Freight, Local",Class 6,Box Truck,BYD,150,550,Battery-electric,kWh,175,,,Conductive proprietary,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,True,2018-12-01 00:00:00,2020-01-19 00:00:00,,Build quality oversights and liftgate malfunction,,,1,Permanent magnet,TYC-150A
G16-ZTRK-01,G16-ZTRK-01-GWSF,SanF-01-01,SanFEV-06,BYD T7 2017,BYD,2017,Box Truck,"Freight, Local",Class 6,Box Truck,BYD,150,550,Battery-electric,kWh,175,,,Conductive proprietary,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,True,2018-12-01 00:00:00,2020-01-19 00:00:00,,Build quality oversights and liftgate malfunction,,,1,Permanent magnet,TYC-150A
G16-ZTRK-01,G16-ZTRK-01-GWSF,SanF-01-01,SanFEV-07,BYD T7 2017,BYD,2017,Box Truck,"Freight, Local",Class 6,Box Truck,BYD,150,550,Battery-electric,kWh,175,,,Conductive proprietary,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,True,2018-12-01 00:00:00,2020-01-19 00:00:00,,Build quality oversights and liftgate malfunction,,,1,Permanent magnet,TYC-150A
G16-ZTRK-01,G16-ZTRK-01-GWSF,SanF-01-01,SanFEV-08,BYD T7 2017,BYD,2017,Box Truck,"Freight, Local",Class 6,Box Truck,BYD,150,550,Battery-electric,kWh,175,,,Conductive proprietary,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,True,2018-12-01 00:00:00,2020-01-19 00:00:00,,Build quality oversights and liftgate malfunction,,,1,Permanent magnet,TYC-150A
G16-ZTRK-01,G16-ZTRK-01-GWSF,SanF-01-01,SanFEV-09,BYD T7 2017,BYD,2017,Box Truck,"Freight, Local",Class 6,Box Truck,BYD,150,550,Battery-electric,kWh,175,,,Conductive proprietary,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,True,2018-12-01 00:00:00,2020-01-19 00:00:00,,Build quality oversights and liftgate malfunction,,,1,Permanent magnet,TYC-150A
