# This is a template for the Advanced Clean Trucks Manufacturer Produced and Delivered for Sale Reports. Make sure your file is saved in CSV format before uploading it to the screen.,,,,,,,,,,
# PACCAR MY2021 ACT Report,,,,,,,,,,
# Items in the CSV file must be separated by a comma. Non-USA users should check their files to be certain that some other character was not used by their computer as the item separator.,,,,,,,,,,
"# In some cases, the user may wish to change the default list separator character in Windows. (Start | Settings | Control Panel | Regional and Language Options | Customize | List Separator)",,,,,,,,,,
"# Although the fields titled ""Allowed Values:"" show both codes and their descriptions, the actual input file should only use the appropriate codes.",,,,,,,,,,
# Any row that starts with a '#' in the first column will be ignored,,,,,,,,,,
# See examples below.,,,,,,,,,,
#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
#PV-32 same as EPA Sheet,PV-37 (same as EPA sheet),,,,,,,,,
#**Conditional**,**Required**,**Required**,**Required**,**Required**,**Required**,**Conditional**,**Required**,**Required**,**Required**,**Required**
#,Allowed Values:,Allowed Values:,Allowed Values:,,Allowed Values:,,Allowed Values:,Allowed Values:,Allowed Values:,Allowed Values:
#,CNG = Compressed Natural Gas,EV = Electric Vehicle,Y = Yes,,C2b3 = Class 2b-3,,Y = Yes,Y = Yes,CA,Y = Yes
#,D = Diesel,FC = Fuel Cell-Powered Vehicle,N = No,,C45 = Class 4-5,,N = No,N = No,MA,N = No
#,"E = Ethanol, greater than 85%",NZEV = Near Zero Emission Vehicle,,,C67 = Class 6-7,,,,NJ,
#,EL = Electricity,NA = Not Applicable,,,C8S = Class 8 including Yard Tractors,,,,NY,
#,"G = Gasoline, including blends up to E85",,,,C78T = Class 7-8 Tractors,,,,OR,
#,H = Hydrogen,,,,,,,,WA,
#,LNG = Liquefied Natural Gas,,,,,,,,,
#,LPG = Liquefied Petroleum Gas,,,,,,,,,
#,M = Methanol,,,,,,,,,
#Example:,,,,,,Example:,,,,
#123ABC456XYZ78900,D,EV,Y  ,,C78T   ,,N ,Y   ,CA,N
#,EL  ,NZEV  ,N  ,,,75,,,,
# Enter data below,,,,,,,,,,
#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1XKYD49X2NJ465321,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X4NJ465322,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X6NJ465323,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X8NJ465324,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49XXNJ465325,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X1NJ465326,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X3NJ465327,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X5NJ465328,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X7NJ465329,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X6NJ467024,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ467026,D,NA,N,2021,C78T,,N,,CA,N
1XKYDP9X2NJ469323,D,NA,N,2021,C78T,,N,,NJ,N
1XKYD49X5NJ473462,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ473463,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ473464,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ473465,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ473466,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ473467,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ473468,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ473469,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ473470,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ473471,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ473472,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ473473,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X5NJ473722,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ473723,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ473728,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ473729,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ473730,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ473731,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ473732,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ473733,D,NA,N,2021,C78T,,N,,CA,N
1XKYP40X5NJ480383,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X7NJ480384,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X9NJ480385,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X0NJ480386,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X2NJ480387,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X4NJ480388,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X6NJ480389,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X2NJ480390,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X4NJ480391,D,NA,N,2021,C78T,,N,,WA,N
1XKYP40X6NJ480392,D,NA,N,2021,C78T,,N,,WA,N
1XKYC48XXNJ488110,D,NA,N,2021,C78T,,N,,CA,N
1XKYC48X1NJ488111,D,NA,N,2021,C78T,,N,,CA,N
1XKYC48X3NJ488112,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ489465,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X5NJ489466,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ489467,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ489468,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ489469,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ489470,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ489471,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ489472,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ489473,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ489839,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ490059,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X6NJ490075,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ490550,D,NA,N,2021,C78T,,N,,CA,N
1XK1D40X2NJ490556,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49XXNJ490595,D,NA,N,2021,C78T,,N,,CA,N
1NKZX4TXXNJ490787,D,NA,N,2021,C8S,,N,,NJ,N
1NKZX4TX1NJ490788,D,NA,N,2021,C8S,,N,,NJ,N
1NKZX4TX3NJ490789,D,NA,N,2021,C8S,,N,,NJ,N
1NKZX4TXXNJ490790,D,NA,N,2021,C8S,,N,,NJ,N
1NKZX4TX1NJ490791,D,NA,N,2021,C8S,,N,,NJ,N
1XKYD49X7NJ491087,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ491088,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ491089,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ491090,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ491093,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ491094,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ491096,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ491103,D,NA,N,2021,C78T,,N,,OR,N
1XKYD49X3NJ491135,D,NA,N,2021,C78T,,N,,CA,N
1XKZD40X5NJ491378,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ491409,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ491412,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X5NJ491413,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ491535,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ491536,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ491537,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ492430,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ492983,D,NA,N,2021,C78T,,N,,CA,N
