#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1N6AF0KY9MN803661,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY9MN803711,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY9MN809010,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN802096,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN802129,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN802678,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN803121,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN803698,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN803748,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN804091,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN804351,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN806228,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KYXMN807234,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN800002,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN800114,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN800212,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN800467,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN800503,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN800789,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN800792,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN800839,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN801134,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN801392,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN801652,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN802526,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN802672,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN803529,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN803580,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN804437,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN804583,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN804650,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN804664,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN804888,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN805006,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN806334,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN807631,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN807693,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN808598,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN808827,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY0MN810111,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN800008,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN800073,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN800123,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN800140,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN800381,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN800512,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN800543,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN800705,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN800784,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN801028,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN801434,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN801479,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN801725,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN801885,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN802082,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN802647,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN803183,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN803586,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN804043,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN805001,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN807539,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN808013,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN808044,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN808660,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN809629,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY1MN810960,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN800034,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN800101,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN800180,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN800535,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN800728,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN800826,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN800924,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN801121,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN801250,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN801460,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN801913,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN802592,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN802639,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN802642,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN803208,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN803323,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN803371,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN803497,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN803595,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN803743,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN803869,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN804133,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN804598,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN804861,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN805704,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN806108,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0LY2MN806237,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
