VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1G9BG2CD5MP492087,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD7MP492088,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD9MP492089,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD5MP492090,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD7MP492091,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD9MP492092,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD0MP492093,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD2MP492094,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD4MP492095,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD6MP492096,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD8MP492097,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CDXMP492098,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD1MP492099,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD4MP492100,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD6MP492101,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD8MP492102,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CDXMP492103,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD1MP492104,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD3MP492105,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD5MP492106,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD6MP492003,EL,EV,N,2021,C45,NA,N,Y,BC,Y
1G9BG2CDXMP492005,EL,EV,N,2021,C45,NA,N,Y,BC,Y
